2025-05-13 16:30:24,485 - DEBUG - [algo] | Using cached balances (age=40.9s)
2025-05-13 16:33:19,598 - DEBUG - [algo] | Using cached balances (age=35.3s)
2025-05-13 16:33:19,598 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:19,747 - DEBUG - [algo] | Using cached balances (age=35.5s)
2025-05-13 16:33:19,747 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:19,748 - DEBUG - [algo] | Using cached balances (age=35.5s)
2025-05-13 16:33:19,748 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:19,853 - DEBUG - [algo] | Using cached balances (age=35.6s)
2025-05-13 16:33:19,854 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:19,854 - DEBUG - [algo] | Using cached balances (age=35.6s)
2025-05-13 16:33:19,855 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:20,296 - DEBUG - [algo] | Using cached balances (age=36.0s)
2025-05-13 16:33:20,297 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:20,298 - DEBUG - [algo] | Using cached balances (age=36.0s)
2025-05-13 16:33:20,298 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:20,396 - DEBUG - [algo] | Using cached balances (age=36.1s)
2025-05-13 16:33:20,397 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:20,398 - DEBUG - [algo] | Using cached balances (age=36.1s)
2025-05-13 16:33:20,398 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:20,818 - DEBUG - [algo] | Using cached balances (age=36.6s)
2025-05-13 16:33:20,819 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:20,819 - DEBUG - [algo] | Using cached balances (age=36.6s)
2025-05-13 16:33:20,820 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:20,920 - DEBUG - [algo] | Using cached balances (age=36.7s)
2025-05-13 16:33:20,920 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:20,921 - DEBUG - [algo] | Using cached balances (age=36.7s)
2025-05-13 16:33:20,921 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,021 - DEBUG - [algo] | Using cached balances (age=36.8s)
2025-05-13 16:33:21,022 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,022 - DEBUG - [algo] | Using cached balances (age=36.8s)
2025-05-13 16:33:21,023 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,127 - DEBUG - [algo] | Using cached balances (age=36.9s)
2025-05-13 16:33:21,128 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,129 - DEBUG - [algo] | Using cached balances (age=36.9s)
2025-05-13 16:33:21,129 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,232 - DEBUG - [algo] | Using cached balances (age=37.0s)
2025-05-13 16:33:21,233 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,233 - DEBUG - [algo] | Using cached balances (age=37.0s)
2025-05-13 16:33:21,233 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,334 - DEBUG - [algo] | Using cached balances (age=37.1s)
2025-05-13 16:33:21,334 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,335 - DEBUG - [algo] | Using cached balances (age=37.1s)
2025-05-13 16:33:21,335 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,444 - DEBUG - [algo] | Using cached balances (age=37.2s)
2025-05-13 16:33:21,444 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,445 - DEBUG - [algo] | Using cached balances (age=37.2s)
2025-05-13 16:33:21,445 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,550 - DEBUG - [algo] | Using cached balances (age=37.3s)
2025-05-13 16:33:21,550 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,551 - DEBUG - [algo] | Using cached balances (age=37.3s)
2025-05-13 16:33:21,551 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,645 - DEBUG - [algo] | Using cached balances (age=37.4s)
2025-05-13 16:33:21,645 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,646 - DEBUG - [algo] | Using cached balances (age=37.4s)
2025-05-13 16:33:21,646 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,752 - DEBUG - [algo] | Using cached balances (age=37.5s)
2025-05-13 16:33:21,752 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,753 - DEBUG - [algo] | Using cached balances (age=37.5s)
2025-05-13 16:33:21,753 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,866 - DEBUG - [algo] | Using cached balances (age=37.6s)
2025-05-13 16:33:21,867 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,867 - DEBUG - [algo] | Using cached balances (age=37.6s)
2025-05-13 16:33:21,868 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:21,964 - DEBUG - [algo] | Using cached balances (age=37.7s)
2025-05-13 16:33:21,964 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:21,965 - DEBUG - [algo] | Using cached balances (age=37.7s)
2025-05-13 16:33:21,965 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:22,172 - DEBUG - [algo] | Using cached balances (age=37.9s)
2025-05-13 16:33:22,173 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:22,173 - DEBUG - [algo] | Using cached balances (age=37.9s)
2025-05-13 16:33:22,174 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:22,277 - DEBUG - [algo] | Using cached balances (age=38.0s)
2025-05-13 16:33:22,278 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:22,278 - DEBUG - [algo] | Using cached balances (age=38.0s)
2025-05-13 16:33:22,279 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:22,622 - DEBUG - [algo] | Using cached balances (age=38.4s)
2025-05-13 16:33:22,623 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:22,624 - DEBUG - [algo] | Using cached balances (age=38.4s)
2025-05-13 16:33:22,624 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:22,827 - DEBUG - [algo] | Using cached balances (age=38.6s)
2025-05-13 16:33:22,828 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:22,828 - DEBUG - [algo] | Using cached balances (age=38.6s)
2025-05-13 16:33:22,829 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:22,939 - DEBUG - [algo] | Using cached balances (age=38.7s)
2025-05-13 16:33:22,940 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:22,940 - DEBUG - [algo] | Using cached balances (age=38.7s)
2025-05-13 16:33:22,941 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:23,034 - DEBUG - [algo] | Using cached balances (age=38.8s)
2025-05-13 16:33:23,034 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:23,035 - DEBUG - [algo] | Using cached balances (age=38.8s)
2025-05-13 16:33:23,035 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:23,140 - DEBUG - [algo] | Using cached balances (age=38.9s)
2025-05-13 16:33:23,141 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:23,142 - DEBUG - [algo] | Using cached balances (age=38.9s)
2025-05-13 16:33:23,142 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:23,243 - DEBUG - [algo] | Using cached balances (age=39.0s)
2025-05-13 16:33:23,243 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:23,244 - DEBUG - [algo] | Using cached balances (age=39.0s)
2025-05-13 16:33:23,244 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:23,348 - DEBUG - [algo] | Using cached balances (age=39.1s)
2025-05-13 16:33:23,349 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:23,349 - DEBUG - [algo] | Using cached balances (age=39.1s)
2025-05-13 16:33:23,349 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:23,452 - DEBUG - [algo] | Using cached balances (age=39.2s)
2025-05-13 16:33:23,453 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:23,454 - DEBUG - [algo] | Using cached balances (age=39.2s)
2025-05-13 16:33:23,454 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:23,550 - DEBUG - [algo] | Using cached balances (age=39.3s)
2025-05-13 16:33:23,550 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:23,551 - DEBUG - [algo] | Using cached balances (age=39.3s)
2025-05-13 16:33:23,551 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:23,866 - DEBUG - [algo] | Using cached balances (age=39.6s)
2025-05-13 16:33:23,867 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:23,868 - DEBUG - [algo] | Using cached balances (age=39.6s)
2025-05-13 16:33:23,868 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:23,987 - DEBUG - [algo] | Using cached balances (age=39.7s)
2025-05-13 16:33:23,988 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:23,988 - DEBUG - [algo] | Using cached balances (age=39.7s)
2025-05-13 16:33:23,989 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,191 - DEBUG - [algo] | Using cached balances (age=39.9s)
2025-05-13 16:33:24,191 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,192 - DEBUG - [algo] | Using cached balances (age=39.9s)
2025-05-13 16:33:24,192 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,294 - DEBUG - [algo] | Using cached balances (age=40.0s)
2025-05-13 16:33:24,295 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,295 - DEBUG - [algo] | Using cached balances (age=40.0s)
2025-05-13 16:33:24,296 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,402 - DEBUG - [algo] | Using cached balances (age=40.1s)
2025-05-13 16:33:24,403 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,403 - DEBUG - [algo] | Using cached balances (age=40.1s)
2025-05-13 16:33:24,404 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,443 - DEBUG - [algo] | Using cached balances (age=40.2s)
2025-05-13 16:33:24,444 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,445 - DEBUG - [algo] | Using cached balances (age=40.2s)
2025-05-13 16:33:24,445 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,446 - DEBUG - [kclive] | TICK KAS-USDT  1747154004503000000,0.12503,639.19
2025-05-13 16:33:24,508 - DEBUG - [algo] | Using cached balances (age=40.2s)
2025-05-13 16:33:24,509 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,510 - DEBUG - [algo] | Using cached balances (age=40.2s)
2025-05-13 16:33:24,510 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,616 - DEBUG - [algo] | Using cached balances (age=40.4s)
2025-05-13 16:33:24,617 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,617 - DEBUG - [algo] | Using cached balances (age=40.4s)
2025-05-13 16:33:24,618 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,746 - DEBUG - [algo] | Using cached balances (age=40.5s)
2025-05-13 16:33:24,747 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,747 - DEBUG - [algo] | Using cached balances (age=40.5s)
2025-05-13 16:33:24,748 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,851 - DEBUG - [algo] | Using cached balances (age=40.6s)
2025-05-13 16:33:24,852 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,852 - DEBUG - [algo] | Using cached balances (age=40.6s)
2025-05-13 16:33:24,853 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:24,957 - DEBUG - [algo] | Using cached balances (age=40.7s)
2025-05-13 16:33:24,957 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:24,958 - DEBUG - [algo] | Using cached balances (age=40.7s)
2025-05-13 16:33:24,959 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,059 - DEBUG - [algo] | Using cached balances (age=40.8s)
2025-05-13 16:33:25,060 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,060 - DEBUG - [algo] | Using cached balances (age=40.8s)
2025-05-13 16:33:25,061 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,163 - DEBUG - [algo] | Using cached balances (age=40.9s)
2025-05-13 16:33:25,164 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,164 - DEBUG - [algo] | Using cached balances (age=40.9s)
2025-05-13 16:33:25,165 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,267 - DEBUG - [algo] | Using cached balances (age=41.0s)
2025-05-13 16:33:25,268 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,269 - DEBUG - [algo] | Using cached balances (age=41.0s)
2025-05-13 16:33:25,269 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,381 - DEBUG - [algo] | Using cached balances (age=41.1s)
2025-05-13 16:33:25,382 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,382 - DEBUG - [algo] | Using cached balances (age=41.1s)
2025-05-13 16:33:25,383 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,496 - DEBUG - [algo] | Using cached balances (age=41.2s)
2025-05-13 16:33:25,497 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,497 - DEBUG - [algo] | Using cached balances (age=41.2s)
2025-05-13 16:33:25,498 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,592 - DEBUG - [algo] | Using cached balances (age=41.3s)
2025-05-13 16:33:25,593 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,593 - DEBUG - [algo] | Using cached balances (age=41.3s)
2025-05-13 16:33:25,594 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,694 - DEBUG - [algo] | Using cached balances (age=41.4s)
2025-05-13 16:33:25,695 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,695 - DEBUG - [algo] | Using cached balances (age=41.4s)
2025-05-13 16:33:25,696 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,806 - DEBUG - [algo] | Using cached balances (age=41.5s)
2025-05-13 16:33:25,806 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,807 - DEBUG - [algo] | Using cached balances (age=41.5s)
2025-05-13 16:33:25,808 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:25,913 - DEBUG - [algo] | Using cached balances (age=41.7s)
2025-05-13 16:33:25,914 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:25,914 - DEBUG - [algo] | Using cached balances (age=41.7s)
2025-05-13 16:33:25,915 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:26,160 - DEBUG - [algo] | Using cached balances (age=41.9s)
2025-05-13 16:33:26,161 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:26,161 - DEBUG - [algo] | Using cached balances (age=41.9s)
2025-05-13 16:33:26,162 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:26,264 - DEBUG - [algo] | Using cached balances (age=42.0s)
2025-05-13 16:33:26,265 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:26,266 - DEBUG - [algo] | Using cached balances (age=42.0s)
2025-05-13 16:33:26,266 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:26,368 - DEBUG - [algo] | Using cached balances (age=42.1s)
2025-05-13 16:33:26,369 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:26,370 - DEBUG - [algo] | Using cached balances (age=42.1s)
2025-05-13 16:33:26,370 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:26,468 - DEBUG - [algo] | Using cached balances (age=42.2s)
2025-05-13 16:33:26,469 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:26,469 - DEBUG - [algo] | Using cached balances (age=42.2s)
2025-05-13 16:33:26,470 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:26,563 - DEBUG - [algo] | Using cached balances (age=42.3s)
2025-05-13 16:33:26,564 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:26,565 - DEBUG - [algo] | Using cached balances (age=42.3s)
2025-05-13 16:33:26,565 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:26,671 - DEBUG - [algo] | Using cached balances (age=42.4s)
2025-05-13 16:33:26,672 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:26,672 - DEBUG - [algo] | Using cached balances (age=42.4s)
2025-05-13 16:33:26,673 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:26,878 - DEBUG - [algo] | Using cached balances (age=42.6s)
2025-05-13 16:33:26,879 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:26,879 - DEBUG - [algo] | Using cached balances (age=42.6s)
2025-05-13 16:33:26,880 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:26,982 - DEBUG - [algo] | Using cached balances (age=42.7s)
2025-05-13 16:33:26,982 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:26,983 - DEBUG - [algo] | Using cached balances (age=42.7s)
2025-05-13 16:33:26,984 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,090 - DEBUG - [algo] | Using cached balances (age=42.8s)
2025-05-13 16:33:27,091 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,091 - DEBUG - [algo] | Using cached balances (age=42.8s)
2025-05-13 16:33:27,092 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,195 - DEBUG - [algo] | Using cached balances (age=42.9s)
2025-05-13 16:33:27,195 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,196 - DEBUG - [algo] | Using cached balances (age=42.9s)
2025-05-13 16:33:27,196 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,297 - DEBUG - [algo] | Using cached balances (age=43.0s)
2025-05-13 16:33:27,298 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,298 - DEBUG - [algo] | Using cached balances (age=43.0s)
2025-05-13 16:33:27,299 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,404 - DEBUG - [algo] | Using cached balances (age=43.1s)
2025-05-13 16:33:27,405 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,406 - DEBUG - [algo] | Using cached balances (age=43.1s)
2025-05-13 16:33:27,406 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,524 - DEBUG - [algo] | Using cached balances (age=43.3s)
2025-05-13 16:33:27,525 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,526 - DEBUG - [algo] | Using cached balances (age=43.3s)
2025-05-13 16:33:27,526 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,624 - DEBUG - [algo] | Using cached balances (age=43.4s)
2025-05-13 16:33:27,625 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,626 - DEBUG - [algo] | Using cached balances (age=43.4s)
2025-05-13 16:33:27,626 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,728 - DEBUG - [algo] | Using cached balances (age=43.5s)
2025-05-13 16:33:27,728 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,729 - DEBUG - [algo] | Using cached balances (age=43.5s)
2025-05-13 16:33:27,730 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,830 - DEBUG - [algo] | Using cached balances (age=43.6s)
2025-05-13 16:33:27,831 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,832 - DEBUG - [algo] | Using cached balances (age=43.6s)
2025-05-13 16:33:27,832 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:27,941 - DEBUG - [algo] | Using cached balances (age=43.7s)
2025-05-13 16:33:27,941 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:27,942 - DEBUG - [algo] | Using cached balances (age=43.7s)
2025-05-13 16:33:27,942 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:28,045 - DEBUG - [algo] | Using cached balances (age=43.8s)
2025-05-13 16:33:28,046 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:28,046 - DEBUG - [algo] | Using cached balances (age=43.8s)
2025-05-13 16:33:28,047 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:28,145 - DEBUG - [algo] | Using cached balances (age=43.9s)
2025-05-13 16:33:28,146 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:28,146 - DEBUG - [algo] | Using cached balances (age=43.9s)
2025-05-13 16:33:28,146 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:28,470 - DEBUG - [algo] | Using cached balances (age=44.2s)
2025-05-13 16:33:28,473 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:28,474 - DEBUG - [algo] | Using cached balances (age=44.2s)
2025-05-13 16:33:28,476 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:28,612 - DEBUG - [algo] | Using cached balances (age=44.4s)
2025-05-13 16:33:28,613 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:28,614 - DEBUG - [algo] | Using cached balances (age=44.4s)
2025-05-13 16:33:28,614 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:28,712 - DEBUG - [algo] | Using cached balances (age=44.5s)
2025-05-13 16:33:28,713 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:28,714 - DEBUG - [algo] | Using cached balances (age=44.5s)
2025-05-13 16:33:28,715 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:28,816 - DEBUG - [algo] | Using cached balances (age=44.6s)
2025-05-13 16:33:28,817 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:28,817 - DEBUG - [algo] | Using cached balances (age=44.6s)
2025-05-13 16:33:28,818 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:29,472 - DEBUG - [algo] | Using cached balances (age=45.2s)
2025-05-13 16:33:29,473 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:29,474 - DEBUG - [algo] | Using cached balances (age=45.2s)
2025-05-13 16:33:29,474 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:29,585 - DEBUG - [algo] | Using cached balances (age=45.3s)
2025-05-13 16:33:29,586 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:29,587 - DEBUG - [algo] | Using cached balances (age=45.3s)
2025-05-13 16:33:29,587 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:30,005 - DEBUG - [algo] | Using cached balances (age=45.7s)
2025-05-13 16:33:30,006 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:30,007 - DEBUG - [algo] | Using cached balances (age=45.7s)
2025-05-13 16:33:30,008 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:30,121 - DEBUG - [algo] | Using cached balances (age=45.9s)
2025-05-13 16:33:30,122 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:30,123 - DEBUG - [algo] | Using cached balances (age=45.9s)
2025-05-13 16:33:30,123 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:30,323 - DEBUG - [algo] | Using cached balances (age=46.1s)
2025-05-13 16:33:30,323 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:30,324 - DEBUG - [algo] | Using cached balances (age=46.1s)
2025-05-13 16:33:30,325 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:30,864 - DEBUG - [algo] | Using cached balances (age=46.6s)
2025-05-13 16:33:30,864 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:30,865 - DEBUG - [algo] | Using cached balances (age=46.6s)
2025-05-13 16:33:30,866 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:30,968 - DEBUG - [algo] | Using cached balances (age=46.7s)
2025-05-13 16:33:30,969 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:30,970 - DEBUG - [algo] | Using cached balances (age=46.7s)
2025-05-13 16:33:30,970 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:31,073 - DEBUG - [algo] | Using cached balances (age=46.8s)
2025-05-13 16:33:31,074 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:31,074 - DEBUG - [algo] | Using cached balances (age=46.8s)
2025-05-13 16:33:31,075 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:31,174 - DEBUG - [algo] | Using cached balances (age=46.9s)
2025-05-13 16:33:31,175 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:31,175 - DEBUG - [algo] | Using cached balances (age=46.9s)
2025-05-13 16:33:31,176 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:31,281 - DEBUG - [algo] | Using cached balances (age=47.0s)
2025-05-13 16:33:31,282 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:31,282 - DEBUG - [algo] | Using cached balances (age=47.0s)
2025-05-13 16:33:31,283 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:31,413 - DEBUG - [algo] | Using cached balances (age=47.2s)
2025-05-13 16:33:31,414 - DEBUG - [algo] | Returning available[USDT] = 8.677436
2025-05-13 16:33:31,414 - DEBUG - [algo] | Using cached balances (age=47.2s)
2025-05-13 16:33:31,415 - DEBUG - [algo] | Returning available[KAS] = 0.000000
2025-05-13 16:33:31,520 - DEBUG - [algo] | Using cached balances (age=47.3s)
